Event Number,Eye closing Frame,Eye Closed Frame,Eye opening,Eye Fully Open,Class,Duration:,stdv,,,,
1,21,27,33,51,F,30,4,,total frame count,,
2,468,477,480,491,F,23,5,,,,2368
3,608,613,614,627,F,19,1,,,,
4,929,n/a,938,944,H,15,2,,F= Full,,
5,1178,n/a,1186,1195,H,17,1,,H= Half,,
6,1259,1268,1278,1301,F,42,15,,,,
7,1423,1428,1436,1451,F,28,17,,,,
8,1609,n/a,1621,1630,H,21,22,,,,
9,1785,1793,1808,1832,F,47,2,,,,
10,1947,1952,1968,1986,F,39,2,,,,
11,2030,2040,2042,2050,F,20,7,,,,
12,2344,2355,2359,2367,F,23,18,,,,
