Event Number,Eye closing Frame,Eye Closed Frame,Eye opening,Eye Fully Open,Class,Duration:,,,stdv
,35,40,41,48,F,13,,,14
,58,63,64,71,F,13,Total frames,1415,13
,170,174,175,183,F,13,,,
,232,237,238,250,F,18,,,
,331,336,337,347,F,16,,,16
,360,366,367,375,F,15,,,8
,424,427,428,436,F,12,,,5
,444,446,447,454,F,10,,,6
,488,490,491,495,H,7,,,
,525,529,530,539,F,14,,,3
,540,542,543,552,H,12,,,
,586,589,590,596,F,10,,,
,725,729,731,738,F,13,,,5
,872,877,878,885,F,13,,,4
,986,988,989,992,H,6,,,
,1055,1058,1059,1067,H,12,,,
,1070,1077,1078,1089,F,19,,,7
,1199,1202,1203,1209,F,10,,,4
,1411,1412,1413,1415,H,4,,,1
