Event Number,Eye closing Frame,Eye Closed Frame,Eye opening,Eye Fully Open,Class,Duration:,,,stdv
,6,8,9,19,F,13,,,3
,40,46,47,57,F,17,Total frames,1553,16
,59,61,62,69,F,10,,,
,107,108,109,118,H,11,,,10
,206,209,210,215,F,9,,,11
,457,461,462,469,F,12,,,
,471,472,473,477,H,6,,,7
,491,494,495,498,H,7,,,2
,502,505,506,512,F,10,,,5
,551,554,555,561,H,10,,,2
,627,629,630,637,F,10,,,8
,708,714,715,722,F,14,,,
,724,727,728,736,F,12,,,12
,788,790,791,799,F,11,,,10
,846,849,850,856,F,10,,,12
,1069,1072,1073,1081,F,12,,,
,1088,1090,1091,1097,H,9,,,
,1104,1107,1108,1115,F,11,,,
,1172,1174,1175,1183,F,11,,,12
,1267,1272,1273,1282,F,15,,,10
,1408,1411,1412,1421,F,13,,,
,1426,1428,1429,1435,H,9,,,2
,1442,1445,1446,1451,H,9,,,
,1464,1465,1466,1472,H,8,,,
,1504,1506,1507,1514,H,10,,,9
,1531,1533,1534,1539,H,8,,,
