Eye closing Time,Eye Fully Open Time,Class,Duration:
25,29,H,4
163,170,F,7
174,180,F,6
247,254,F,7
271,277,H,6
318,327,F,9
333,343,H,10
378,386,F,8
428,437,F,9
443,448,H,5
483,493,F,10
495,506,F,11
517,522,H,5
611,615,H,4
631,638,F,7
656,661,H,5
675,685,H,10
691,696,H,5
751,756,H,5
794,800,H,6
843,850,H,7
865,872,F,7
885,891,H,6
919,930,F,11
941,950,F,9
973,981,H,8
991,1000,F,9
1017,1024,H,7
1033,1041,H,8
1120,1128,F,8
1143,1149,H,6
1167,1171,H,4
1191,1200,H,9
1202,1213,F,11
1266,1274,H,8
1283,1286,H,3
1364,1370,H,6
1407,1416,F,9
1438,1444,H,6
1463,1470,F,7
1484,1494,F,10
1505,1516,F,11
1555,1563,F,8
1606,1613,H,7
1663,1672,F,9
1735,1746,F,11
1753,1762,H,9
1775,1782,H,7
1818,1825,H,7
1834,1839,H,5
1858,1864,H,6
1893,1900,F,7
1911,1920,F,9
2181,2187,H,6
2249,2258,H,9
2264,2273,F,9
2315,2324,H,9
2353,2359,H,6
2393,2400,F,7
2414,2423,F,9
2535,2541,H,6
2665,2678,H,13
2681,2692,F,11
2741,2753,H,12
2828,2832,H,4
2857,2870,F,13
2882,2891,H,9
2898,2907,H,9
2956,2964,H,8
2998,3005,H,7
3020,3025,H,5
3037,3045,H,8
3131,3138,F,7
3148,3158,F,10
3168,3177,F,9
3243,3252,H,9
3265,3275,H,10
3296,3303,H,7
3445,3457,F,12
3468,3475,F,7
3497,3507,H,10
3512,3522,H,10
3529,3536,H,7
3630,3638,F,8
3660,3666,H,6
3675,3684,H,9
3732,3738,H,6
3809,3818,F,9
3857,3864,H,7
3909,3919,F,10
3930,3938,F,8
3971,3982,H,11
3998,4008,H,10
4039,4049,H,10
4110,4116,H,6
4179,4191,F,12
4197,4206,F,9
4223,4235,H,12
4273,4286,F,13
4356,4366,F,10
4419,4428,H,9
4465,4471,H,6
4488,4499,H,11
4512,4517,H,5
4530,4539,H,9
4553,4563,F,10
4636,4644,H,8
4650,4661,F,11
4681,4693,F,12
4772,4782,F,10
4789,4801,F,12
4887,4894,H,7
4947,4955,H,8
5008,5016,H,8
5066,5077,F,11
5084,5093,H,9
5159,5174,F,15
5182,5193,H,11
5202,5209,H,7
5233,5245,F,12
5251,5262,F,11
5396,5407,F,11
5439,5447,H,8
5581,5588,H,7
5609,5618,F,9
5630,5638,H,8
5644,5659,H,15
5732,5739,H,7
5757,5767,H,10
5860,5867,H,7
6106,6115,F,9
6127,6134,H,7
6141,6152,F,11
6217,6227,F,10
6240,6249,F,9
6260,6268,F,8
6277,6285,H,8
6397,6406,F,9
6417,6425,H,8
6474,6480,H,6
6605,6611,H,6
