Eye closing Time,Eye Fully Open Time,Class,Duration:
98,108,H,10
138,147,H,9
183,193,F,10
233,242,H,9
248,254,H,6
314,324,H,10
338,340,H,2
358,368,H,10
444,452,H,8
500,511,H,11
542,551,H,9
688,700,H,12
855,864,H,9
909,923,F,14
997,1010,H,13
1068,1084,H,16
1100,1112,H,12
1158,1167,H,9
1285,1296,H,11
1315,1327,H,12
1377,1384,H,7
1408,1417,H,9
1441,1453,H,12
1588,1600,H,12
1609,1626,H,17
1663,1679,H,16
1767,1783,H,16
1959,1974,H,15
2042,2057,H,15
2080,2089,H,9
2219,2230,H,11
2333,2344,H,11
2347,2363,F,16
2368,2380,F,12
2399,2412,F,13
2459,2470,H,11
2547,2561,H,14
2713,2729,H,16
2732,2746,H,14
2780,2791,H,11
2818,2828,H,10
2905,2914,H,9
2928,2938,H,10
3033,3044,H,11
3077,3091,F,14
3103,3113,H,10
3122,3132,H,10
3308,3316,H,8
3328,3336,H,8
3410,3421,H,11
3548,3559,H,11
3570,3579,H,9
3600,3614,H,14
3626,3636,H,10
3658,3666,H,8
3694,3702,H,8
3727,3742,F,15
3808,3819,H,11
3906,3918,F,12
3927,3938,H,11
3998,4008,H,10
4062,4077,H,15
4099,4114,H,15
4145,4160,H,15
4555,4566,H,11
4571,4584,H,13
4647,4662,H,15
5009,5020,H,11
5103,5121,H,18
5206,5225,H,19
5360,5374,H,14
5475,5489,H,14
5534,5548,H,14
5624,5639,F,15
5648,5662,F,14
5684,5700,H,16
5741,5761,H,20
5838,5853,H,15
5894,5907,H,13
6047,6060,H,13
6104,6117,H,13
6124,6136,H,12
6302,6314,H,12
6455,6490,H,35
7304,7320,F,16
7524,7541,F,17
7586,7608,H,22
7681,7701,F,20
7816,7832,H,16
8005,8027,F,22
8073,8091,F,18
8173,8188,H,15
8204,8219,H,15
8439,8454,H,15
8666,8682,H,16
8972,8990,F,18
9008,9033,H,25
9463,9480,F,17
9603,9616,H,13
9703,9716,F,13
9804,9818,H,14
9860,9874,F,14
9910,9922,F,12
9931,9943,F,12
9958,9968,F,10
10054,10066,H,12
10271,10283,H,12
10310,10326,F,16
10330,10340,H,10
10498,10513,F,15
10675,10687,H,12
10741,10771,H,30
10796,10808,H,12
10847,10866,H,19
10883,10896,H,13
10904,10929,F,25
10982,11001,H,19
11070,11093,H,23
11461,11482,F,21
11495,11517,F,22
11544,11555,H,11
11572,11583,F,11
